,word,freq2010,freq2020,type,semantic_change,polysemy
0,peeps,9505.6,2316.9765625,slang,0.7329324229119661,1
1,compo,122.25,144.4265625,slang,0.7387198708677083,1
2,hasbian,1.8,0.09375,slang,0.7247305855709372,1
3,mozzie,39.05,26.890625,slang,0.7215207832890337,1
4,soused,5.38,6.570312499999999,slang,0.7392309497808556,1
5,conniption,11.82,13.421875,slang,0.7313824995050533,1
6,conniption,11.82,13.421875,slang,0.7313824995050533,1
7,workaround,84.83,81.03906249999999,slang,0.7366744111300572,2
8,fap,374.7,267.01875,slang,0.7350255270593834,3
9,lemme,7768.45,7023.9796875,slang,0.724374239998042,3
10,shiesty,41.88,113.76875,slang,0.7481939457779212,2
11,spec-ops,3.85,1.828125,slang,0.7248735844265835,1
12,sicc,220.72,36.90624999999999,slang,0.7393882360814596,1
13,wut,7363.48,950.85625,slang,0.7238056772072268,1
14,sesh,690.83,472.403125,slang,0.7333656346297622,1
15,trisexual,9.28,1.5781249999999998,slang,0.7263495418270929,1
16,motherfucking,489.15,495.6296875,slang,0.715046576978535,1
17,a-list,310.02,187.4609375,slang,0.7387833753728688,1
18,spec,1525.12,1884.753125,slang,0.7408575619559893,1
19,gangsta,3131.95,1923.6640625,slang,0.7362451061783234,15
20,horribad,1.48,0.5703125,slang,0.7320187480311042,1
21,twit,16982.75,5012.565624999998,slang,0.7289329905562609,3
22,zooted,184.2,52.0203125,slang,0.7354916279048422,2
23,lame-o,84.6,5.035937499999998,slang,0.7271643724100852,1
24,shtick,32.08,96.671875,slang,0.7423077802410858,2
25,duckface,21.75,7.7609375,slang,0.7139569690822576,1
26,tweeker,24.23,4.4140625,slang,0.7278260322236393,3
27,blowjob,778.9,1528.0890625,slang,0.7391515929862789,2
28,dis,39763.03,18050.3796875,slang,0.7404748938946248,3
29,crappy,2520.72,835.1640625,slang,0.7337163147634059,1
30,spam,8895.27,5545.323437499998,slang,0.7340850008826171,7
31,gunt,89.22,14.234374999999998,slang,0.7430878299745052,1
32,rehab,3399.62,1040.390625,slang,0.7406523306935052,1
33,pregos,79.0,12.284375,slang,0.7349089036272474,2
34,bromance,329.5,392.2578125,slang,0.7270888552592016,1
35,bumfuck,12.43,9.3359375,slang,0.7259344007587611,1
36,gotsta,216.25,7.278124999999998,slang,0.7345889889516146,1
37,whadja,2.75,0.28125,slang,0.6738009496250403,1
38,tenner,160.53,97.9140625,slang,0.7228441820373848,1
39,poopy,174.9,125.23125,slang,0.7268126877350516,1
40,roshambo,8.55,2.1171875,slang,0.7184536201796567,3
41,prettyful,35.12,1.184375,slang,0.7208076792787197,1
