freq,word,year,type
7355.15,zombie,2010,both
47.42,annihilated,2010,both
1161.78,grub,2010,both
805.65,styling,2010,both
2512.12,streak,2010,both
3359.43,thirsty,2010,both
11179.62,bomb,2010,both
32886.80,fire,2010,both
8.82,zounds,2010,both
118.90,freckle,2010,both
209.10,gridlock,2010,both
54.65,crossfade,2010,both
419.48,kosher,2010,both
106458.05,money,2010,both
10.00,slack-jawed,2010,both
5476.85,ent,2010,both
318.12,crock,2010,both
144.43,skeeter,2010,both
1216.88,locks,2010,both
40.42,compy,2010,both
2476.00,rad,2010,both
14348.30,gag,2010,both
7061.07,booty,2010,both
141.70,walkie,2010,both
9760.17,tool,2010,both
1969.92,jill,2010,both
1172.72,ratchet,2010,both
83198.30,hell,2010,both
124829.93,god,2010,both
598.67,threads,2010,both
200.15,gnarly,2010,both
14676.00,bowl,2010,both
15708.62,sport,2010,both
89.97,pecker,2010,both
2248.38,swap,2010,both
59669.15,book,2010,both
4951.82,screaming,2010,both
5053.52,thick,2010,both
999.60,foxy,2010,both
1660.95,sassy,2010,both
6712.77,scream,2010,both
34119.85,walk,2010,both
22770.53,eye,2010,both
148.65,roadkill,2010,both
3292.95,dirt,2010,both
29139.70,fat,2010,both
13364.83,item,2010,both
178.25,plums,2010,both
1953.75,grip,2010,both
39739.10,move,2010,both
578.98,jock,2010,both
457.70,hanger,2010,both
2234.75,brains,2010,both
21771.38,peace,2010,both
41786.60,mine,2010,both
1127.55,pinch,2010,both
67.20,tweaker,2010,both
125.53,fruitcake,2010,both
52.95,whippet,2010,both
534.85,wrecked,2010,both
19414.45,kick,2010,both
2470.15,sausage,2010,both
3893.78,pig,2010,both
8520.30,egg,2010,both
32.33,peeper,2010,both
77226.48,head,2010,both
966.92,mule,2010,both
1442.45,fence,2010,both
129.35,gumby,2010,both
29.57,fluffer,2010,both
228.12,toots,2010,both
19735.15,classic,2010,both
8029.48,bloody,2010,both
3011.38,stat,2010,both
1333.85,stew,2010,both
2099.35,dim,2010,both
1292.00,postal,2010,both
6160.75,gig,2010,both
6007.32,beef,2010,both
32.95,decompress,2010,both
1716.60,bookmark,2010,both
23829.88,chicken,2010,both
73.22,squawk,2010,both
45.90,peckish,2010,both
4598.77,split,2010,both
3350.90,dose,2010,both
287.10,scoot,2010,both
52137.25,mad,2010,both
3063.45,bastard,2010,both
3202.10,bounce,2010,both
2145.80,candle,2010,both
511.98,scissor,2010,both
2852.12,windy,2010,both
497.23,balling,2010,both
450.73,jammed,2010,both
5147.45,sneak,2010,both
7305.27,ghost,2010,both
786.95,hitter,2010,both
2138.40,smoked,2010,both
167116.05,down,2010,both
