freq,word,year,type
7363.48,wut,2010,slang
690.83,sesh,2010,slang
3131.95,gangsta,2010,slang
778.90,blowjob,2010,slang
39763.03,dis,2010,slang
2520.72,crappy,2010,slang
8895.27,spam,2010,slang
3399.62,rehab,2010,slang
724.92,snitch,2010,slang
51198.55,bro,2010,slang
13040.08,dang,2010,slang
313.23,relly,2010,slang
622.38,sucky,2010,slang
1965.03,wang,2010,slang
9505.60,peeps,2010,slang
122.25,compo,2010,slang
1.80,hasbian,2010,slang
39.05,mozzie,2010,slang
5.38,soused,2010,slang
11.82,conniption,2010,slang
84.83,workaround,2010,slang
374.70,fap,2010,slang
41.00,jabroni,2010,slang
6443.98,meme,2010,slang
59.52,netizen,2010,slang
220.78,slore,2010,slang
22.00,flutterby,2010,slang
18.55,blumpkin,2010,slang
142.57,plastered,2010,slang
0.47,baltimoron,2010,slang
7768.45,lemme,2010,slang
2.45,shiznat,2010,slang
41.88,shiesty,2010,slang
8.22,gayborhood,2010,slang
3.85,spec-ops,2010,slang
220.72,sicc,2010,slang
9.28,trisexual,2010,slang
489.15,motherfucking,2010,slang
2375.80,dogg,2010,slang
