freq,word,year,type
7363.48,wut,2010,slang
690.83,sesh,2010,slang
3131.95,gangsta,2010,slang
778.90,blowjob,2010,slang
39763.03,dis,2010,slang
2520.72,crappy,2010,slang
8895.27,spam,2010,slang
3399.62,rehab,2010,slang
724.92,snitch,2010,slang
51198.55,bro,2010,slang
13040.08,dang,2010,slang
313.23,relly,2010,slang
622.38,sucky,2010,slang
1965.03,wang,2010,slang
9505.60,peeps,2010,slang
122.25,compo,2010,slang
1.80,hasbian,2010,slang
39.05,mozzie,2010,slang
5.38,soused,2010,slang
11.82,conniption,2010,slang
84.83,workaround,2010,slang
374.70,fap,2010,slang
41.00,jabroni,2010,slang
6443.98,meme,2010,slang
59.52,netizen,2010,slang
220.78,slore,2010,slang
22.00,flutterby,2010,slang
18.55,blumpkin,2010,slang
142.57,plastered,2010,slang
0.47,baltimoron,2010,slang
7768.45,lemme,2010,slang
2.45,shiznat,2010,slang
41.88,shiesty,2010,slang
8.22,gayborhood,2010,slang
3.85,spec-ops,2010,slang
220.72,sicc,2010,slang
9.28,trisexual,2010,slang
489.15,motherfucking,2010,slang
2375.80,dogg,2010,slang
310.02,a-list,2010,slang
1525.12,spec,2010,slang
30.70,carny,2010,slang
1.48,horribad,2010,slang
16982.75,twit,2010,slang
184.20,zooted,2010,slang
84.60,lame-o,2010,slang
6.25,bible-thumping,2010,slang
32.08,shtick,2010,slang
23.68,whooty,2010,slang
5.20,okee-doke,2010,slang
869.67,next-level,2010,slang
21.75,duckface,2010,slang
24.23,tweeker,2010,slang
89.22,gunt,2010,slang
79.00,pregos,2010,slang
329.50,bromance,2010,slang
3.15,dafuq,2010,slang
0.30,yookay,2010,slang
12.43,bumfuck,2010,slang
216.25,gotsta,2010,slang
2.75,whadja,2010,slang
160.53,tenner,2010,slang
174.90,poopy,2010,slang
8.55,roshambo,2010,slang
35.12,prettyful,2010,slang
6.47,jerkwad,2010,slang
15.07,skeevy,2010,slang
0.47,brotox,2010,slang
46.67,linner,2010,slang
2890.75,badass,2010,slang
214.97,skyrocket,2010,slang
52.35,chones,2010,slang
15.93,celebutante,2010,slang
22.45,colitas,2010,slang
3654.45,pedo,2010,slang
399.15,crowdsourcing,2010,slang
0.07,tardnation,2010,slang
37.90,roofie,2010,slang
36.90,mosey,2010,slang
6.30,gorp,2010,slang
1.98,punanni,2010,slang
65.15,shart,2010,slang
32.98,glitterati,2010,slang
5.70,thingamabob,2010,slang
13.05,jalopy,2010,slang
109.60,nuker,2010,slang
104.47,dudette,2010,slang
509.35,fanboy,2010,slang
1.33,sploof,2010,slang
5.22,bupkis,2010,slang
0.05,zories,2010,slang
45.20,rapey,2010,slang
0.28,incel,2010,slang
38.60,preemie,2010,slang
146.93,mcdreamy,2010,slang
21.78,sinse,2010,slang
55.57,bonehead,2010,slang
140.62,blankie,2010,slang
0.97,hypermiler,2010,slang
0.80,fidiot,2010,slang
