,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,word,num_s,num_ns,polysemy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zombie,2,5,7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,grub,1,2,3
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,styling,2,3,5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,streak,1,6,7
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,thirsty,1,4,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,bomb,7,5,12
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,fire,3,18,21
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,freckle,1,2,3
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,crossfade,1,1,2
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,kosher,3,1,4
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,money,2,2,4
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,slack-jawed,1,2,3
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,ent,1,1,2
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,crock,1,4,5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,skeeter,1,1,2
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,locks,2,14,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,rad,1,1,2
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,booty,3,1,4
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,walkie,1,1,2
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,tool,3,5,8
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,jill,1,1,2
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,ratchet,12,2,14
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,hell,2,5,7
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,God,1,4,5
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,threads,1,10,11
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,gnarly,3,1,4
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,bowl,2,10,12
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,sport,4,9,13
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,pecker,3,2,5
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,book,2,12,14
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,screaming,1,4,5
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,thick,5,13,18
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,foxy,2,1,3
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,sassy,2,1,3
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,walk,3,16,19
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,eye,1,5,6
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,dirt,2,4,6
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,fat,3,9,12
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,item,2,6,8
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,plums,1,3,4
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,grip,3,10,13
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,move,1,19,20
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,jock,4,1,5
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,hanger,1,2,3
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,brains,2,7,9
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,peace,2,5,7
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,mine,1,4,5
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,pinch,2,11,13
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,tweaker,2,1,3
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,fruitcake,1,1,2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,whippet,1,1,2
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,wrecked,2,2,4
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,kick,7,13,20
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,sausage,2,2,4
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,pig,7,5,12
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,egg,1,5,6
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,peeper,3,2,5
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,head,5,39,44
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,mule,1,2,3
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,fence,2,5,7
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,gumby,3,1,4
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,fluffer,1,1,2
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,toots,1,3,4
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,classic,2,4,6
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,bloody,1,3,4
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,stew,1,2,3
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,dim,1,9,10
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,postal,1,1,2
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,gig,7,6,13
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,beef,8,4,12
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,bookmark,1,1,2
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,chicken,3,5,8
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,squawk,2,4,6
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,dose,1,4,5
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,scoot,2,1,3
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,mad,3,4,7
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,bastard,3,3,6
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,bounce,4,9,13
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,candle,2,3,5
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,scissor,1,1,2
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,windy,1,4,5
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,balling,1,1,2
82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,jammed,3,8,11
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,ghost,2,7,9
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,hitter,1,2,3
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,smoked,3,3,6
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,down,10,17,27
