,word,polysemy
0,agenda,2
1,weimaraner,1
2,lawlessness,2
3,chug,3
4,nonskid,1
5,sympathizer,4
6,despoil,1
7,milepost,2
8,vanadium,1
9,competencies,2
10,clinkstone,0
11,mushroom,6
12,jugglers,2
13,doubleheader,2
14,decomposition,2
15,rump,3
16,heaviest,17
17,echo,9
18,unutilized,1
19,scallywag,2
20,peppy,1
21,shield,8
22,rehabilitations,3
23,banzai,1
24,pantsuit,1
25,legalist,2
26,moldovan,1
27,reedbed,1
28,terrifies,2
29,postural,1
30,butane,1
31,alanine,1
32,grisly,2
33,scheme,5
34,jute,2
35,anticlockwise,1
36,underrated,1
37,uria,2
38,trampolining,1
39,bicolour,1
40,awesome,2
41,humblest,5
42,galavant,2
43,sailor,3
44,fiddled,9
45,intimidator,1
46,hemosiderin,1
47,bright,9
48,epilator,1
49,sabertooth,1
50,calorie,2
51,conventionally,4
52,telogen,1
53,extravasated,2
54,deathblow,2
55,repentant,2
56,bedchambers,1
57,superabundance,1
58,admitting,5
59,dysthymic,1
60,scummiest,3
61,strap,8
62,guardian,3
63,shylock,3
64,minmax,0
65,glutton,2
66,squall,6
67,antipathies,2
68,camara,0
69,underpainting,1
70,morphology,4
71,subtended,2
72,avoiders,3
73,outlawing,6
74,timbral,1
75,protocol,4
76,cytometer,1
77,ignites,5
78,didot,1
79,sculptured,6
80,committeeman,2
81,snug,9
82,paleontology,1
83,mistreatment,1
84,greeting,2
86,sensuousness,3
87,groans,3
88,unlike,3
89,unmatched,2
90,steeple,1
91,estimated,7
92,contenders,1
93,allotted,1
94,conferral,3
95,enhancements,1
96,rufescent,1
97,copyediting,2
98,adulterous,1
99,upgrade,5
