,word,polysemy
0,peeps,1
1,compo,1
2,hasbian,1
3,mozzie,1
4,soused,1
5,conniption,1
6,workaround,2
7,fap,3
8,lemme,3
9,shiznat,1
10,shiesty,2
11,gayborhood,1
12,spec-ops,1
13,sicc,1
14,wut,1
15,sesh,1
16,trisexual,1
17,motherfucking,1
18,a-list,1
19,spec,1
20,carny,1
21,gangsta,15
22,horribad,1
23,twit,3
24,zooted,2
25,lame-o,1
26,Bible-thumping,1
27,shtick,2
28,whooty,1
29,okee-doke,1
30,next-level,2
31,duckface,1
32,tweeker,3
33,blowjob,2
34,dis,3
35,crappy,1
36,spam,7
37,gunt,1
38,rehab,1
39,pregos,2
40,bromance,1
41,dafuq,1
42,YooKay,1
43,bumfuck,1
44,gotsta,1
45,whadja,1
46,tenner,1
47,poopy,1
48,roshambo,3
49,prettyful,1
50,jerkwad,1
51,skeevy,1
52,Brotox,1
53,linner,1
54,badass,5
55,skyrocket,1
56,snitch,4
57,bro,5
58,chones,1
59,celebutante,1
60,colitas,1
61,pedo,1
62,crowdsourcing,1
63,tardnation,1
64,roofie,3
65,mosey,1
66,gorp,5
67,punanni,1
68,shart,1
69,glitterati,1
70,relly,1
71,dang,7
72,thingamabob,1
73,jalopy,1
74,jabroni,2
75,meme,1
76,netizen,1
77,slore,1
78,flutterby,1
79,blumpkin,1
80,plastered,1
81,baltimoron,1
82,nuker,1
83,dudette,1
84,fanboy,1
85,zories,1
86,rapey,1
87,incel,1
88,preemie,1
89,mcdreamy,1
90,sucky,1
91,sinse,1
92,wang,3
93,hypermiler,1
94,fidiot,1
95,bonehead,1
96,blankie,1
97,sploof,1
98,bupkis,1
99,dogg,16
