,0
0,zombie
1,annihilated
2,grub
3,styling
4,streak
5,thirsty
6,bomb
7,fire
8,zounds
9,freckle
10,gridlock
11,crossfade
12,kosher
13,money
14,slack-jawed
15,ent
16,crock
17,skeeter
18,locks
19,compy
20,rad
21,gag
22,booty
23,walkie
24,tool
25,jill
26,ratchet
27,hell
28,God
29,threads
30,gnarly
31,bowl
32,sport
33,pecker
34,swap
35,book
36,screaming
37,thick
38,foxy
39,sassy
40,scream
41,walk
42,eye
43,roadkill
44,dirt
45,fat
46,item
47,plums
48,grip
49,move
50,jock
51,hanger
52,brains
53,peace
54,mine
55,pinch
56,tweaker
57,fruitcake
58,whippet
59,wrecked
60,kick
61,sausage
62,pig
63,egg
64,peeper
65,head
66,mule
67,fence
68,gumby
69,fluffer
70,toots
71,classic
72,bloody
73,stat
74,stew
75,dim
76,postal
77,gig
78,beef
79,decompress
80,bookmark
81,chicken
82,squawk
83,peckish
84,split
85,dose
86,scoot
87,mad
88,bastard
89,bounce
90,candle
91,scissor
92,windy
93,balling
94,jammed
95,sneak
96,ghost
97,hitter
98,smoked
99,down
