,0
0,peeps
1,compo
2,hasbian
3,mozzie
4,soused
5,conniption
6,workaround
7,fap
8,lemme
9,shiznat
10,shiesty
11,gayborhood
12,spec-ops
13,sicc
14,wut
15,sesh
16,trisexual
17,motherfucking
18,a-list
19,spec
20,carny
21,gangsta
22,horribad
23,twit
24,zooted
25,lame-o
26,Bible-thumping
27,shtick
28,whooty
29,okee-doke
30,next-level
31,duckface
32,tweeker
33,blowjob
34,dis
35,crappy
36,spam
37,gunt
38,rehab
39,pregos
40,bromance
41,dafuq
42,YooKay
43,bumfuck
44,gotsta
45,whadja
46,tenner
47,poopy
48,roshambo
49,prettyful
50,jerkwad
51,skeevy
52,Brotox
53,linner
54,badass
55,skyrocket
56,snitch
57,bro
58,chones
59,celebutante
60,colitas
61,pedo
62,crowdsourcing
63,tardnation
64,roofie
65,mosey
66,gorp
67,punanni
68,shart
69,glitterati
70,relly
71,dang
72,thingamabob
73,jalopy
74,jabroni
75,meme
76,netizen
77,slore
78,flutterby
79,blumpkin
80,plastered
81,Baltimoron
82,nuker
83,dudette
84,fanboy
85,zories
86,rapey
87,incel
88,preemie
89,McDreamy
90,sucky
91,sinse
92,wang
93,hypermiler
94,fidiot
95,bonehead
96,blankie
97,sploof
98,bupkis
99,dogg
