,words
0,0 day
1,1
2,10
3,101
4,10-20
5,1080
6,11
7,110 percent
8,1337
9,133t
10,1432
11,180
12,187
13,19th hole
14,1st base
15,2
16,24/7
17,2nd base
18,2nite
19,304
20,31337
21,3rd base
22,3rd wheel
23,3-ring circus
24,3 sheets to the wind
25,40
26,411
27,"411, the"
28,420
29,4/20
30,4:20
31,45 minute Catholic
32,4-banger
33,4ine
34,5-0
35,516
36,5 by 5
37,5ux0r
38,6
39,69
40,6 up
41,70s bush
42,9
43,9 to 5
44,A2M
45,AB
46,abandonware
47,ABC
48,ABC party
49,ABD
50,ABDL
51,AB/DL
52,Abe Lincoln
53,aboot
54,about it
55,abs
56,abso-fucking-lutely
57,abso-fuckin'-lutely
58,abt
59,AC
60,AC-DC
61,ace boon coon
62,ace buddy
63,acid
64,acid head
65,ACK
66,acqui-hire
67,act brand new
68,action item
69,act like (one's) shit doesn't stink
70,act like (one's) shit don't stink
71,addy
72,a dollar three eightyfive
73,adorbs
74,adult
75,adware
76,AeA
77,af
78,a face that only a mother could love
79,AFAICR
80,AFAICS
81,AFAICT
82,AFAIK
83,AFAIU
84,AFAIUI
85,afeared
86,a few
87,AFK
88,aforetexted
89,afraid of (one's) shadow
90,afro
91,after (one's) own heart
92,against the clock
93,-age
94,agen
95,aha moment
96,a hell of a
97,a hell of an
98,ahole
99,a humdinger
100,aight
101,ain't
102,ain't no thing but a chicken wing
103,air biscuit
104,air con
105,Air Farce
106,air guitar
107,airtight
108,AKA
109,a kick
110,aks
111,Alaskan fire dragon
112,a laugh
113,alcamahol
114,alcopop
115,algo
116,a-list
117,a-lister
118,a little birdie told me
119,a little bird told me
120,all
121,all clear
122,alley oop
123,all good
124,alligator arms
125,all-nighter
126,all over
127,all over (one's) asses
128,all righty
129,all systems go
130,all that
131,all that and a bag of chips
132,all that and a bag of Fritos
133,all the
134,all-there
135,all up in
136,all y'all
137,all your base are belong to us
138,along for the ride
139,a lot on (one's) plate
140,alpha
141,alrighty
142,also-ran
143,alt
144,AMA
145,amaze-balls
146,Amazon
147,ambo
148,AMF
