,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,word,type,wordfreq_freq,is_saved
0,0,0,0,0,0,0,0,0,0,0,0,0,0,peeps,slang,1.26e-06,True
1,1,1,1,1,1,1,1,1,1,1,1,1,1,compo,slang,2.14e-07,True
2,2,2,2,2,2,2,2,2,2,2,2,2,2,hasbian,slang,0.0,True
3,3,3,3,3,3,3,3,3,3,3,3,3,3,mozzie,slang,7.08e-08,True
4,4,4,4,4,4,4,4,4,4,4,4,4,4,soused,slang,5.37e-08,True
5,5,5,5,5,5,5,5,5,5,5,5,5,5,conniption,slang,4.57e-08,True
6,6,6,6,6,6,6,6,6,6,6,6,6,6,workaround,slang,5.13e-07,True
7,7,7,7,7,7,7,7,7,7,7,7,7,7,fap,slang,6.17e-07,True
8,8,8,8,8,8,8,8,8,8,8,8,8,8,lemme,slang,1.55e-06,True
9,9,9,9,9,9,9,9,9,9,9,9,9,9,shiznat,slang,0.0,True
10,10,10,10,10,10,10,10,10,10,10,10,10,10,shiesty,slang,0.0,True
11,11,11,11,11,11,11,11,11,11,11,11,11,11,gayborhood,slang,2.04e-08,True
12,12,12,12,12,12,12,12,12,12,12,12,12,12,spec-ops,slang,2.41e-06,True
13,13,13,13,13,13,13,13,13,13,13,13,13,13,sicc,slang,2.4e-08,True
14,14,14,14,14,14,14,14,14,14,14,14,14,14,wut,slang,1.02e-06,True
15,15,15,15,15,15,15,15,15,15,15,15,15,15,sesh,slang,2.82e-07,True
16,16,16,16,16,16,16,16,16,16,16,16,16,16,trisexual,slang,0.0,True
17,17,17,17,17,17,17,17,17,17,17,17,17,17,motherfucking,slang,1.74e-06,True
18,18,18,18,18,18,18,18,18,18,18,18,18,18,a-list,slang,0.000189,True
19,19,19,19,19,19,19,19,19,19,19,19,19,19,spec,slang,3.89e-06,True
20,20,20,20,20,20,20,20,20,20,20,20,20,20,carny,slang,9.33e-08,True
21,21,21,21,21,21,21,21,21,21,21,21,21,21,gangsta,slang,1.02e-06,True
22,22,22,22,22,22,22,22,22,22,22,22,22,22,horribad,slang,0.0,True
23,23,23,23,23,23,23,23,23,23,23,23,23,23,twit,slang,5.5e-07,True
24,24,24,24,24,24,24,24,24,24,24,24,24,24,zooted,slang,1.48e-08,True
25,25,25,25,25,25,25,25,25,25,25,25,25,25,lame-o,slang,8.35e-06,True
26,26,26,26,26,26,26,26,26,26,26,26,26,26,Bible-thumping,slang,1.39e-06,True
27,27,27,27,27,27,27,27,27,27,27,27,27,27,shtick,slang,3.31e-07,True
28,28,28,28,28,28,28,28,28,28,28,28,28,28,whooty,slang,0.0,True
29,29,29,29,29,29,29,29,29,29,29,29,29,29,okee-doke,slang,3.3e-08,True
30,30,30,30,30,30,30,30,30,30,30,30,30,30,next-level,slang,0.00017,True
31,31,31,31,31,31,31,31,31,31,31,31,31,31,duckface,slang,7.08e-08,True
32,32,32,32,32,32,32,32,32,32,32,32,32,32,tweeker,slang,1.95e-08,True
33,33,33,33,33,33,33,33,33,33,33,33,33,33,blowjob,slang,2.24e-06,True
34,34,34,34,34,34,34,34,34,34,34,34,34,34,dis,slang,5.37e-06,True
35,35,35,35,35,35,35,35,35,35,35,35,35,35,crappy,slang,3.16e-06,True
36,36,36,36,36,36,36,36,36,36,36,36,36,36,spam,slang,1.12e-05,True
37,37,37,37,37,37,37,37,37,37,37,37,37,37,gunt,slang,3.31e-08,True
38,38,38,38,38,38,38,38,38,38,38,38,38,38,rehab,slang,6.17e-06,True
39,39,39,39,39,39,39,39,39,39,39,39,39,39,pregos,slang,0.0,True
40,40,40,40,40,40,40,40,40,40,40,40,40,40,bromance,slang,4.17e-07,True
41,41,41,41,41,41,41,41,41,41,41,41,41,41,dafuq,slang,2.82e-07,True
42,42,42,42,42,42,42,42,42,42,42,42,42,42,YooKay,slang,0.0,True
43,43,43,43,43,43,43,43,43,43,43,43,43,43,bumfuck,slang,2.69e-08,True
44,44,44,44,44,44,44,44,44,44,44,44,44,44,gotsta,slang,1.07e-08,True
45,45,45,45,45,45,45,45,45,45,45,45,45,45,whadja,slang,0.0,True
46,46,46,46,46,46,46,46,46,46,46,46,46,46,tenner,slang,4.07e-07,True
47,47,47,47,47,47,47,47,47,47,47,47,47,47,poopy,slang,3.16e-07,True
48,48,48,48,48,48,48,48,48,48,48,48,48,48,roshambo,slang,0.0,True
49,49,49,49,49,49,49,49,49,49,49,49,49,49,prettyful,slang,0.0,True
50,50,50,50,50,50,50,50,50,50,50,50,50,50,jerkwad,slang,1.41e-08,True
51,51,51,51,51,51,51,51,51,51,51,51,51,51,skeevy,slang,5.13e-08,True
52,52,52,52,52,52,52,52,52,52,52,52,52,52,Brotox,slang,0.0,True
53,53,53,53,53,53,53,53,53,53,53,53,53,53,linner,slang,1.74e-08,True
54,54,54,54,54,54,54,54,54,54,54,54,54,54,badass,slang,5.13e-06,True
55,55,55,55,55,55,55,55,55,55,55,55,55,55,skyrocket,slang,6.17e-07,True
56,56,56,56,56,56,56,56,56,56,56,56,56,56,snitch,slang,1.26e-06,True
57,57,57,57,57,57,57,57,57,57,57,57,57,57,bro,slang,2.51e-05,True
58,58,58,58,58,58,58,58,58,58,58,58,58,58,chones,slang,1.05e-08,True
59,59,59,59,59,59,59,59,59,59,59,59,59,59,celebutante,slang,0.0,True
60,60,60,60,60,60,60,60,60,60,60,60,60,60,colitas,slang,0.0,True
61,61,61,61,61,61,61,61,61,61,61,61,61,61,pedo,slang,6.92e-07,True
62,62,62,62,62,62,62,62,62,62,62,62,62,62,crowdsourcing,slang,4.9e-07,True
63,63,63,63,63,63,63,63,63,63,63,63,63,63,tardnation,slang,0.0,True
64,64,64,64,64,64,64,64,64,64,64,64,64,64,roofie,slang,7.08e-08,True
65,65,65,65,65,65,65,65,65,65,65,65,65,65,mosey,slang,1.51e-07,True
66,66,66,66,66,66,66,66,66,66,66,66,66,66,gorp,slang,3.31e-08,True
67,67,67,67,67,67,67,67,67,67,67,67,67,67,punanni,slang,0.0,True
68,68,68,68,68,68,68,68,68,68,68,68,68,68,shart,slang,9.12e-08,True
69,69,69,69,69,69,69,69,69,69,69,69,69,69,glitterati,slang,6.46e-08,True
70,70,70,70,70,70,70,70,70,70,70,70,70,70,relly,slang,5.75e-08,True
71,71,71,71,71,71,71,71,71,71,71,71,71,71,dang,slang,4.47e-06,True
72,72,72,72,72,72,72,72,72,72,72,72,72,72,thingamabob,slang,1.48e-08,True
73,73,73,73,73,73,73,73,73,73,73,73,73,73,jalopy,slang,7.76e-08,True
74,74,74,74,74,74,74,74,74,74,74,74,74,74,jabroni,slang,5.13e-08,True
75,75,75,75,75,75,75,75,75,75,75,75,75,75,meme,slang,8.13e-06,True
76,76,76,76,76,76,76,76,76,76,76,76,76,76,netizen,slang,1.45e-07,True
77,77,77,77,77,77,77,77,77,77,77,77,77,77,slore,slang,0.0,True
78,78,78,78,78,78,78,78,78,78,78,78,78,78,flutterby,slang,1.58e-08,True
79,79,79,79,79,79,79,79,79,79,79,79,79,79,blumpkin,slang,1.45e-08,True
80,80,80,80,80,80,80,80,80,80,80,80,80,80,plastered,slang,1.51e-06,True
81,81,81,81,81,81,81,81,81,81,81,81,81,81,Baltimoron,slang,0.0,True
82,82,82,82,82,82,82,82,82,82,82,82,82,82,nuker,slang,0.0,True
83,83,83,83,83,83,83,83,83,83,83,83,83,83,dudette,slang,3.31e-08,True
84,84,84,84,84,84,84,84,84,84,84,84,84,84,fanboy,slang,8.51e-07,True
85,85,85,85,85,85,85,85,85,85,85,85,85,85,zories,slang,0.0,True
86,86,86,86,86,86,86,86,86,86,86,86,86,86,rapey,slang,1.32e-07,True
87,87,87,87,87,87,87,87,87,87,87,87,87,87,incel,slang,9.77e-08,True
88,88,88,88,88,88,88,88,88,88,88,88,88,88,preemie,slang,1.15e-07,True
89,89,89,89,89,89,89,89,89,89,89,89,89,89,McDreamy,slang,5.75e-08,True
90,90,90,90,90,90,90,90,90,90,90,90,90,90,sucky,slang,4.07e-07,True
91,91,91,91,91,91,91,91,91,91,91,91,91,91,sinse,slang,1.17e-08,True
92,92,92,92,92,92,92,92,92,92,92,92,92,92,wang,slang,8.91e-06,True
93,93,93,93,93,93,93,93,93,93,93,93,93,93,hypermiler,slang,0.0,False
94,94,94,94,94,94,94,94,94,94,94,94,94,94,fidiot,slang,0.0,False
95,95,95,95,95,95,95,95,95,95,95,95,95,95,bonehead,slang,1.91e-07,False
96,96,96,96,96,96,96,96,96,96,96,96,96,96,blankie,slang,1.1e-07,False
97,97,97,97,97,97,97,97,97,97,97,97,97,97,sploof,slang,0.0,False
98,98,98,98,98,98,98,98,98,98,98,98,98,98,bupkis,slang,2.19e-08,False
99,99,99,99,99,99,99,99,99,99,99,99,99,99,dogg,slang,1.41e-06,False
100,100,100,100,100,100,100,100,100,100,100,100,100,0,agenda,nonslang,2e-05,False
101,101,101,101,101,101,101,101,101,101,101,101,101,1,weimaraner,nonslang,5.62e-08,False
102,102,102,102,102,102,102,102,102,102,102,102,102,2,lawlessness,nonslang,8.13e-07,False
103,103,103,103,103,103,103,103,103,103,103,103,103,3,chug,nonslang,8.32e-07,False
104,104,104,104,104,104,104,104,104,104,104,104,104,4,nonskid,nonslang,1.55e-08,False
105,105,105,105,105,105,105,105,105,105,105,105,105,5,sympathizer,nonslang,3.89e-07,False
106,106,106,106,106,106,106,106,106,106,106,106,106,6,despoil,nonslang,3.8e-08,False
107,107,107,107,107,107,107,107,107,107,107,107,107,7,milepost,nonslang,1.51e-07,False
108,108,108,108,108,108,108,108,108,108,108,108,108,8,vanadium,nonslang,3.63e-07,False
109,109,109,109,109,109,109,109,109,109,109,109,109,9,competencies,nonslang,9.77e-07,False
110,110,110,110,110,110,110,110,110,110,110,110,110,10,clinkstone,nonslang,0.0,False
111,111,111,111,111,111,111,111,111,111,111,111,111,11,mushroom,nonslang,4.27e-06,False
112,112,112,112,112,112,112,112,112,112,112,112,112,12,jugglers,nonslang,2.34e-07,False
113,113,113,113,113,113,113,113,113,113,113,113,113,13,doubleheader,nonslang,3.72e-07,False
114,114,114,114,114,114,114,114,114,114,114,114,114,14,decomposition,nonslang,1.82e-06,False
115,115,115,115,115,115,115,115,115,115,115,115,115,15,rump,nonslang,1.12e-06,False
116,116,116,116,116,116,116,116,116,116,116,116,116,16,heaviest,nonslang,2.24e-06,False
117,117,117,117,117,117,117,117,117,117,117,117,117,17,echo,nonslang,1.1e-05,False
118,118,118,118,118,118,118,118,118,118,118,118,118,18,unutilized,nonslang,2.4e-08,False
119,119,119,119,119,119,119,119,119,119,119,119,119,19,scallywag,nonslang,5.5e-08,False
120,120,120,120,120,120,120,120,120,120,120,120,120,20,peppy,nonslang,3.39e-07,False
121,121,121,121,121,121,121,121,121,121,121,121,121,21,shield,nonslang,2e-05,False
122,122,122,122,122,122,122,122,122,122,122,122,122,22,rehabilitations,nonslang,2.82e-08,False
123,123,123,123,123,123,123,123,123,123,123,123,123,23,banzai,nonslang,2.19e-07,False
124,124,124,124,124,124,124,124,124,124,124,124,124,24,pantsuit,nonslang,1.91e-07,False
125,125,125,125,125,125,125,125,125,125,125,125,125,25,legalist,nonslang,4.57e-08,False
126,126,126,126,126,126,126,126,126,126,126,126,126,26,moldovan,nonslang,2.88e-07,False
127,127,127,127,127,127,127,127,127,127,127,127,127,27,reedbed,nonslang,1.29e-08,False
128,128,128,128,128,128,128,128,128,128,128,128,128,28,terrifies,nonslang,5.13e-07,False
129,129,129,129,129,129,129,129,129,129,129,129,129,29,postural,nonslang,3.63e-07,False
130,130,130,130,130,130,130,130,130,130,130,130,130,30,butane,nonslang,4.17e-07,False
131,131,131,131,131,131,131,131,131,131,131,131,131,31,alanine,nonslang,3.24e-07,False
132,132,132,132,132,132,132,132,132,132,132,132,132,32,grisly,nonslang,5.5e-07,False
133,133,133,133,133,133,133,133,133,133,133,133,133,33,scheme,nonslang,3.72e-05,False
134,134,134,134,134,134,134,134,134,134,134,134,134,34,jute,nonslang,6.17e-07,False
135,135,135,135,135,135,135,135,135,135,135,135,135,35,anticlockwise,nonslang,8.91e-08,False
136,136,136,136,136,136,136,136,136,136,136,136,136,36,underrated,nonslang,4.07e-06,False
137,137,137,137,137,137,137,137,137,137,137,137,137,37,uria,nonslang,3.16e-08,False
138,138,138,138,138,138,138,138,138,138,138,138,138,38,trampolining,nonslang,1e-07,False
139,139,139,139,139,139,139,139,139,139,139,139,139,39,bicolour,nonslang,1.41e-08,False
140,140,140,140,140,140,140,140,140,140,140,140,140,40,awesome,nonslang,8.32e-05,False
