Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,word,type,wordfreq_freq,is_saved,Euclidian_APD,cosine_APD,combined_APD
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,peeps,slang,1.26e-06,True,151.20497131347656,0.9909773459658027,0.7328878146814186
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,compo,slang,2.1399999999999998e-07,True,157.5480499267578,0.9997473528492264,0.7386905217257361
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,hasbian,slang,0.0,True,147.5838165283203,0.9800898153334856,0.724713413267918
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,mozzie,slang,7.08e-08,True,141.3755645751953,0.9768693763762712,0.7214644344028822
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,soused,slang,5.37e-08,True,154.87867736816406,0.9984040843555704,0.7392511470424052
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,conniption,slang,4.5700000000000006e-08,True,152.55848693847656,0.9963104848284274,0.7313684958520474
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,conniption,slang,4.5700000000000006e-08,True,153.19085693359375,0.9975418744143099,0.7321102935681023
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,workaround,slang,5.13e-07,True,153.37786865234375,0.9988929338287562,0.7366639457241093
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,fap,slang,6.17e-07,True,147.45970153808594,0.9960897634737194,0.7350232545657491
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,lemme,slang,1.55e-06,True,144.3680419921875,0.9859453588724136,0.7243451332150035
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,shiznat,slang,0.0,True,,,
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,shiesty,slang,0.0,True,161.81088256835938,1.0131042301654816,0.7482017750935961
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,gayborhood,slang,2.04e-08,True,,,
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,spec-ops,slang,2.41e-06,True,151.7688446044922,0.9839790351688862,0.7248456759696398
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,sicc,slang,2.4e-08,True,156.216552734375,0.9992311820969917,0.7394145532443968
