word,polysemy,freq2010,freq2020,type,semantic_change
peeps,1.0,9505.6,2316.9765625,slang,0.7329324229119661
compo,1.0,122.25,144.4265625,slang,0.7387198708677083
hasbian,1.0,1.8,0.09375,slang,0.7247305855709372
mozzie,1.0,39.05,26.890625,slang,0.7215207832890337
soused,1.0,5.38,6.570312499999999,slang,0.7392309497808556
conniption,1.0,11.82,13.421875,slang,0.7313824995050533
workaround,2.0,84.83,81.03906249999999,slang,0.7366744111300572
fap,3.0,374.7,267.01875,slang,0.7350255270593834
lemme,3.0,7768.45,7023.9796875,slang,0.724374239998042
shiesty,2.0,41.88,113.76875,slang,0.7481939457779212
spec-ops,1.0,3.85,1.828125,slang,0.7248735844265835
sicc,1.0,220.72,36.90624999999999,slang,0.7393882360814596
wut,1.0,7363.48,950.85625,slang,0.7238056772072268
sesh,1.0,690.83,472.403125,slang,0.7333656346297622
trisexual,1.0,9.28,1.5781249999999998,slang,0.7263495418270929
motherfucking,1.0,489.15,495.6296875,slang,0.715046576978535
a-list,1.0,310.02,187.4609375,slang,0.7387833753728688
spec,1.0,1525.12,1884.753125,slang,0.7408575619559893
gangsta,15.0,3131.95,1923.6640625,slang,0.7362451061783234
horribad,1.0,1.48,0.5703125,slang,0.7320187480311042
twit,3.0,16982.75,5012.565624999998,slang,0.7289329905562609
zooted,2.0,184.2,52.0203125,slang,0.7354916279048422
lame-o,1.0,84.6,5.035937499999998,slang,0.7271643724100852
shtick,2.0,32.08,96.671875,slang,0.7423077802410858
duckface,1.0,21.75,7.7609375,slang,0.7139569690822576
tweeker,3.0,24.23,4.4140625,slang,0.7278260322236393
blowjob,2.0,778.9,1528.0890625,slang,0.7391515929862789
dis,3.0,39763.03,18050.3796875,slang,0.7404748938946248
crappy,1.0,2520.72,835.1640625,slang,0.7337163147634059
spam,7.0,8895.27,5545.323437499998,slang,0.7340850008826171
gunt,1.0,89.22,14.234374999999998,slang,0.7430878299745052
rehab,1.0,3399.62,1040.390625,slang,0.7406523306935052
pregos,2.0,79.0,12.284375,slang,0.7349089036272474
bromance,1.0,329.5,392.2578125,slang,0.7270888552592016
