,words
0,10
1,101
2,10-20
3,1080
4,11
5,1337
6,133t
7,1432
8,180
9,187
10,24/7
11,2nite
12,304
13,31337
14,40
15,411
16,420
17,4/20
18,4:20
19,4-banger
20,4ine
21,5-0
22,516
23,5ux0r
24,69
25,A2M
26,AB
27,abandonware
28,ABC
29,ABD
30,ABDL
31,AB/DL
32,aboot
33,abs
34,abso-fucking-lutely
35,abso-fuckin'-lutely
36,abt
37,AC
38,AC-DC
39,acid
40,ACK
41,acqui-hire
42,addy
43,adorbs
44,adult
45,adware
46,AeA
47,af
48,AFAICR
49,AFAICS
50,AFAICT
51,AFAIK
52,AFAIU
53,AFAIUI
54,afeared
55,AFK
56,aforetexted
57,afro
58,-age
59,agen
60,ahole
61,aight
62,ain't
63,airtight
64,AKA
65,aks
66,alcamahol
67,alcopop
68,algo
69,a-list
70,a-lister
71,all
72,all-nighter
73,all-there
74,alpha
75,alrighty
76,also-ran
77,alt
78,AMA
79,amaze-balls
80,Amazon
81,ambo
82,AMF
83,ammo
84,amped
85,amped-out
86,anaconda
87,anal
88,annihilated
89,anotha
90,anywho
91,A-Ok
92,app
93,-arino
94,armor
95,arse
96,arsehole
97,arseholed
98,artist
99,ASAP
100,-asaurus
101,asf
102,ask
103,ASL
104,A/S/L
105,ASLR
106,ASLRP
107,ass
108,-ass
109,asscan
110,assful
111,asshole
112,assholery
113,ass-kicking
114,ass-load
115,ass-to-mouth
116,ass-ton
117,astroturfing
118,ATM
119,Audi
120,aught
121,auto-fellatio
122,autograph
123,automagically
124,avatar
125,Avatard
126,avo
127,AWD
128,awesome
129,AWOL
130,awsum
131,B4
132,babelicious
133,baby
134,babygirl
135,backronym
136,backstabber
137,backwards
138,bad
139,bad-ass
140,bad-mouth
141,badonkadonk
142,badussy
143,bagger
144,bah
145,bail
146,baked
147,bake-out
148,balcony
149,balderdash
150,Baldy
151,baller
152,balling
153,balls
154,ballsy
155,baloney
156,Baltimoron
157,bam
158,bamboozle
159,bananas
160,band
161,bang
162,banhammer
163,bank
164,banus
165,bap
166,bar
167,barbie
168,bare
169,bareback
170,barf
171,barge
172,barkeep
173,basic
174,bastard
175,bate
176,batty
177,bawl
178,baz
179,bazillion
180,bb
181,b-ball
182,BBC
183,BBD
184,BBL
185,BBW
186,bby
187,b/c
188,bcoz
189,bday
190,b-day
191,beak
192,Beamer
193,bear
194,beast
195,beastly
196,beat
197,beatch
198,beater
199,beat-up
200,beautimus
201,beaver
202,beefy
203,beej
204,Beemer
205,beer
206,behymen
207,bejesus
208,belfie
209,belt-tightening
210,benchy
211,bender
212,benes
213,benny
214,bent
215,Benz
216,bestest
217,bestie
218,best-of-breed
219,Betty
220,bewb
221,beyotch
222,BFD
223,BFE
224,BFF
225,BFFE
226,BFFL
227,BFFWEOAGSA
228,bi
229,biatch
230,Bible-thumping
231,bibs
232,Bic
233,bid
234,biddie
235,Biebtard
236,biff
237,biffle
238,big
239,big-boned
240,big-time
241,bike
242,bikeshed
243,bimbo
244,bin
245,bindle
246,bint
247,biotch
248,bisnitch
249,bisnotch
250,bit
251,bitchin'
252,bite
253,biter
254,bitter
255,bizatch
256,biznass
257,biznatch
258,biznitch
259,bizzounce
260,BJ
261,blabber
262,blankie
263,blarg
264,blargh
265,blast
266,blaze
267,blazing
268,blech
269,bleeding
270,bleeping
271,blimey
272,blip
273,blitzed
274,blivet
275,blivit
276,bloatware
277,blog
278,blogosphere
279,blood
280,bloody
281,blow
282,blowcaine
283,blowie
284,blowjob
285,blowout
286,blowy
287,blue-hair
288,bluey
289,blumpken
290,blumpkin
291,blunt
292,blurgh
293,B.M.
294,boat
295,bobby
296,bod
297,bodice-ripper
298,boed
299,bof
300,boff
301,boffin
302,bog
303,Bogart
304,BOGO
305,BOGOF
306,bogus
307,BOHICA
308,boi
309,boid
310,boink
311,bollock
312,bollocks
313,Bollywood
314,bologna
315,bomb
316,bone
317,bonehead
318,boner
319,boob
320,boobage
321,booboo
322,booby
323,boof
324,boogy
325,book
326,bookmark
327,boomer
328,boondoggle
329,boone-doggle
330,booshi
331,boost
332,bootlicker
333,booty
334,booty-cheddar
335,booze
336,boozy
337,boreout
338,bork
339,borked
340,borrow
341,boss
342,bossman
343,bounce
344,bouncer
345,bourgee
346,bousta
347,bowl
348,boy
349,bozo
350,bra
351,bracelets
352,brain
353,brains
354,brainstorm
355,brainy
356,BRB
357,breasteses
358,breezer
359,breezy
360,brewski
361,brick-and-mortar
362,bridezilla
363,bright
364,brill
365,bro
366,broad
367,broken
368,bromance
369,broner
370,brony
371,Brotox
372,brown-noser
373,BRT
374,bruddah
375,bruh
376,brutes
377,bruv
378,BS
379,BTW
380,budgie
381,budissy
382,buff
383,buffoon
384,Buffy
385,bug
386,bugfucker
387,bugged
388,buggering
389,built
390,bukkake
391,bullet
392,bullshit
393,bully
394,bum
395,Bumblefuck
396,bumder
397,bumfuck
398,bumlick
399,bummage
400,bumping
401,bumpkiss
402,bunch
403,bunk-ass
404,buns
405,bupkis
406,burnie
407,burninate
408,burn-out
409,bushed
410,busted
411,butch
412,butt-dial
413,butter
414,butthurt
415,butt-hurt
416,butt-load
417,buy-in
418,buzz
419,buzzed
420,BYOB
421,BYOW
422,BYU
423,cab
424,cabbaged
425,caboose
426,caca
427,CAE
428,caf
429,calcs
430,calendar
431,call
432,cam
433,candle
434,candy
435,candy-ass
436,candy-assed
437,candy-coat
438,cap
439,capeesh
440,capital-
441,capitol
442,carny
443,cash
444,cashed
445,cat
446,catcher
447,cathouse
448,cattywompus
449,'cause
450,cave
451,CBA
452,CCW
453,celeb
454,celebutante
455,celebutard
456,cell
457,celly
458,cereal
459,certifiable
460,cewebrity
461,champers
462,chatterbox
463,cheddar
464,chedder
465,cheerio
466,cheese
467,cheesiness
468,cheesy
469,chemo
470,cherry
471,cherry-tops
472,Chevy
473,chew
474,chica
475,chicadee
476,chick
477,chicken
478,chiclets
479,chill
480,chillax
481,chillaxx
482,chillbilly
483,chintzy
484,chinwag
485,chiquita
486,choad
487,chockablock
488,choda
489,chode
490,choice
491,chones
492,chopper
493,chow
494,chreaster
495,Chrismahanukwanzakah
496,Christmahanakwanzika
497,Christmahanukwanzakah
498,chub
499,chubbie
500,chuck
501,chucklehead
502,chucks
503,chuddy
504,chum
505,chunky
506,CI
507,cig
508,ciggy
509,CIMM
510,cinch
511,cinchy
512,-city
513,classic
514,cleave
515,click-bait
516,clicker
517,clit-lit
518,clod
519,clone
520,clue
521,clueless
522,clunge
523,clunker
524,c'mon
525,c-note
526,coaster
527,cockbag
528,cocksucker
529,codger
530,codswallop
531,coiler
532,cojones
533,coke
534,cold
535,colitas
536,collar
537,colors
538,commie
539,compo
540,compooter
541,compy
542,con
543,condo
544,congrats
545,conniption
546,conversate
547,convo
548,cooch
549,coochie
550,cooked
551,cooker
552,cool
553,coolio
554,cooter
555,cooties
556,cop
557,copper
558,copy-cat
559,copy-pasta
560,correctamoondoe
561,correctamundo
562,cos
563,COTS
564,cougar
565,cover
566,coyote
567,coz
568,CP
569,crabbit
570,cracken
571,cra-cra
572,crank
573,cranky
574,crap
575,crap-fest
576,craplet
577,crap-load
578,crapper
579,crappy
580,craptacular
581,craptastic
582,crapware
583,crash
584,cray
585,crazy-pants
586,cream-crackered
587,cred
588,creep
589,creepy
590,cretin
591,crib
592,crim
593,Crimbo
594,cris
595,Crissy
596,crit
597,crock
598,cromulent
599,cronick
600,crossfade
601,crotchal
602,crowdsourcing
603,CRS
604,crucify
605,cruise
606,crummy
607,crystal
608,CSB
609,CTFU
610,cuckoo
611,cuckservative
612,cum
613,cunt
614,cuntsicle
615,cunt-struck
616,cuppa
617,cushiony
618,cutty
619,daddy
620,DAE
621,daft
622,dafuq
623,dago
624,dang
625,dangler
626,dank
627,dap
628,dash
629,dat
630,date
631,dawg
632,days
633,DBI
634,DC
635,DDG
636,deck
637,decompress
638,dedi
639,deem
640,deets
641,deez
642,deffo
643,delish
644,dem
645,devil
646,DFTBA
647,DFTT
648,DH
649,dhont
650,dick
651,diddly-squat
652,die
653,diff
654,dig
655,diggings
656,digits
657,dilligaf
658,dim
659,dimwit
660,ding
661,ding-a-ling
662,dingbat
663,ding-head
664,dingus
665,dipshit
666,dirt
667,dirtwad
668,dis
669,disappear
670,disastrophe
671,disco
672,dish
673,ditch
674,diva
675,DM
676,DMIID
677,DNB
678,dnt
679,DOB
680,doc
681,dock
682,doco
683,dodgy
684,do-do
685,dog
686,dogfood
687,dogg
688,doggie
689,doggy
690,d'oh
691,doiche
692,dome
693,done
694,donezo
695,done-zo
696,dong
697,donk
698,donkey-faced
699,donorcycle
700,doo
701,doob
702,doober
703,doodad
704,doo-doo
705,doofus
706,dook
707,dooky
708,doorstop
709,doosh
710,doozy
711,dope
712,doper
713,dork
714,dose
715,dot-com
716,double-bagger
717,doubleplus
718,doucher
719,douchey
720,doughboy
721,down
722,down-blouse
723,dox
724,DP
725,drank
726,drapes
727,drats
728,dreamboat
729,dro
730,drone
731,drongo
732,droppings
733,drummy
734,DSL
735,DTF
736,DTRT
737,dube
738,dubs
739,ducats
740,duckbutter
741,duckface
742,ducking
743,dude
744,dudette
745,duds
746,dugg
747,duh
748,Dullsville
749,dumbfuck
750,dumb-fuck
751,dump
752,dunlop
753,dunno
754,dunzo
755,dupe
756,dur
757,dust
758,dustup
759,Dutchie
760,dweeb
761,e-
762,earboob
763,earworm
764,easy-peasy
765,eats
766,ecohacking
767,eejit
768,ef
769,eff
770,egg
771,Egypt
772,Einstein
773,elite
774,'em
775,emo
776,empty-nester
777,ent
778,EOB
779,EOD
780,EOF
781,EOM
782,epi
783,equipment
784,errbody
785,errday
786,erryday
787,ersatz
788,escort
789,ese
790,e-tard
791,everything
792,evo-devo
793,ew
794,eww
795,ex
796,expiry
797,eye
798,eyeball
799,eyeballs
800,eye-fuck
801,eye-opener
802,F2F
803,F2P
804,f4f
805,faceplant
806,facialize
807,faded
808,faff
809,faggot
810,fail
811,Fairy
812,false
813,fam
814,famously
815,fanboi
816,fanboy
817,fancy
818,fancy-pants
819,fan-fucking-tastic
820,fantabulous
821,fap
822,FAQ
823,farklempt
824,fart
825,fart-knocker
826,fashy
827,fast-track
828,fat
829,fat-ass
830,fatso
831,fatty
832,fav
833,fave
834,f-bomb
835,fecker
836,fed
837,feeder
838,feels
839,felch
840,fella
841,fence
842,fess
843,-fest
844,Festivus
845,FFS
846,fiddlesticks
847,fidiot
848,fierce
849,FIGMO
850,figs
851,FILF
852,filly
853,fine
854,finger
855,finish
856,finna
857,fire
858,firecracker
859,firement
860,fisho
861,fist
862,fit
863,fit-shaced
864,fivehead
865,five-oh
866,fiver
867,fixie
868,flabbergasted
